ID,Sales Rank,Date,Review Score
545790352,Error 404,Error 404,Error 404
1419717014,514,"November 3, 2015",4.8
1423160916,11039,"October 6, 2015",4.6
1476789886,5917,"October 27, 2015",4.9
1338029991,217,"November 10, 2015",4.61
399172750,Error 404,Error 404,Error 404
399255370,Error 404,Error 404,Error 404
545392551,Error 404,Error 404,Error 404
399226907,Error 404,Error 404,Error 404
1481457047,5267,"October 20, 2015",4.81
62304186,Error 404,Error 404,Error 404
141694737X,70,"May 8, 2007",4.79
803741715,Error 404,Error 404,Error 404
544568036,Error 404,Error 404,Error 404
385376715,Error 404,Error 404,Error 404
60256656,Error 404,Error 404,Error 404
756634687,Error 404,Error 404,Error 404
553512331,Error 404,Error 404,Error 404
920668372,Error 404,Error 404,Error 404
142501123,Error 404,Error 404,Error 404
553522779,Error 404,Error 404,Error 404
1484707230,61,"June 3, 2014",4.8
805047905,Error 404,Error 404,Error 404
800788036,Error 404,Error 404,Error 404
803736800,Error 404,Error 404,Error 404
694003611,Error 404,Error 404,Error 404
671449028,Error 404,Error 404,Error 404
1442450703,232,2012,4.73
763644765,Error 404,Error 404,Error 404
679805273,Error 404,Error 404,Error 404
1250043239,41264,"September 22, 2015",4.51
811877825,Error 404,Error 404,Error 404
439845009,Error 404,Error 404,Error 404
1484720970,22652,"May 5, 2015",4.64
1484726383,564,"July 14, 2015",4.67
811879542,Error 404,Error 404,Error 404
312601557,Error 404,Error 404,Error 404
1101934859,1415,"August 18, 2015",4.81
385374151,Error 404,Error 404,Error 404
399176438,Error 404,Error 404,Error 404
736434704,Error 404,Error 404,Error 404
1426310145,340,"October 9, 2012",4.78
553524267,Error 404,Error 404,Error 404
545703301,Error 404,Error 404,Error 404
037584418X,35421,"July 28, 2009",4.34
375813659,Error 404,Error 404,Error 404
62368435,Error 404,Error 404,Error 404
545448689,Error 404,Error 404,Error 404
1419708457,260,"September 3, 2013",4.83
1938298071,1158,"February 1, 2014",4.8
61900621,Error 404,Error 404,Error 404
1476789878,3995,"October 28, 2014",4.9
1481405055,27181,"August 5, 2014",4.82
399163611,Error 404,Error 404,Error 404
1423183657,12894,"August 18, 2015",4.77
038538369X,31,"July 22, 2014",4.39
60254920,Error 404,Error 404,Error 404
545861012,Error 404,Error 404,Error 404
316199982,Error 404,Error 404,Error 404
1484709012,52712,"July 14, 2015",4.59
545504929,Error 404,Error 404,Error 404
763665118,Error 404,Error 404,Error 404
547577311,Error 404,Error 404,Error 404
375822666,Error 404,Error 404,Error 404
62367145,Error 404,Error 404,Error 404
545847303,Error 404,Error 404,Error 404
1423146735,43468,"October 7, 2014",4.64
375813616,Error 404,Error 404,Error 404
307976971,Error 404,Error 404,Error 404
152802177,Error 404,Error 404,Error 404
375843221,Error 404,Error 404,Error 404
1484720733,27704,"October 21, 2014",4.83
1484726146,32180,"July 14, 2015",4.63
545522285,Error 404,Error 404,Error 404
807508543,Error 404,Error 404,Error 404
545820111,Error 404,Error 404,Error 404
142402494,Error 404,Error 404,Error 404
807508551,Error 404,Error 404,Error 404
547328613,Error 404,Error 404,Error 404
439417848,Error 404,Error 404,Error 404
553508849,Error 404,Error 404,Error 404
545658489,Error 404,Error 404,Error 404
689823223,Error 404,Error 404,Error 404
786838655,Error 404,Error 404,Error 404
689815816,Error 404,Error 404,Error 404
62367153,Error 404,Error 404,Error 404
920236162,Error 404,Error 404,Error 404
1423146778,3982,"March 31, 2015",4.69
810970686,Error 404,Error 404,Error 404
394820371,Error 404,Error 404,Error 404
307931471,Error 404,Error 404,Error 404
525457232,Error 404,Error 404,Error 404
811864952,Error 404,Error 404,Error 404
142410373,Error 404,Error 404,Error 404
763662291,Error 404,Error 404,Error 404
375852085,Error 404,Error 404,Error 404
142410314,Error 404,Error 404,Error 404
1442493348,295005,"September 15, 2015",4.79
698116232,Error 404,Error 404,Error 404
054403256X,12149,"April 7, 2015",4.69
1423106865,813,"September 1, 2007",4.91
316201561,Error 404,Error 404,Error 404
1484724968,Error 503,Error 503,Error 503
763660531,Error 404,Error 404,Error 404
1484720725,10301,"October 7, 2014",4.78
1423153987,Error 503,Error 503,Error 503
448464950,Error 404,Error 404,Error 404
545919665,Error 404,Error 404,Error 404
316365157,Error 404,Error 404,Error 404
545829070,Error 404,Error 404,Error 404
316038636,Error 404,Error 404,Error 404
375846611,Error 404,Error 404,Error 404
553510819,Error 404,Error 404,Error 404
1423199626,659,2013,4.73
763676713,Error 404,Error 404,Error 404
618346872,Error 404,Error 404,Error 404
553524569,Error 404,Error 404,Error 404
148472495X,124889,"September 4, 2015",4.58
161893158X,124973,"July 14, 2015",4.84
545658462,Error 404,Error 404,Error 404
375822658,Error 404,Error 404,Error 404
753453053,Error 404,Error 404,Error 404
142405809,Error 404,Error 404,Error 404
031637086X,17890,"September 1, 2014",4.68
142410381,Error 404,Error 404,Error 404
679824111,Error 404,Error 404,Error 404
1554537045,612,"April 1, 2014",4.61
1465414053,1015,"October 1, 2013",4.42
811826023,Error 503,Error 503,Error 503
1481406264,Error 503,Error 503,Error 503
1465437886,1439,"September 1, 2015",4.44
045146978X,27275,"August 19, 2014",4.44
307010856,Error 404,Error 404,Error 404
843183535,Error 404,Error 404,Error 404
312499221,Error 404,Error 404,Error 404
316283045,Error 404,Error 404,Error 404
547718985,Error 404,Error 404,Error 404
736431217,Error 404,Error 404,Error 404
887431453,Error 404,Error 404,Error 404
62187708,Error 404,Error 404,Error 404
544416864,Error 404,Error 404,Error 404
1450859445,2912,"May 11, 2012",4.6
1452137358,1629,"September 16, 2014",4.75
979974623,Error 404,Error 404,Error 404
982993803,Error 404,Error 404,Error 404
525428879,Error 404,Error 404,Error 404
1405277335,270303,"October 8, 2015",4.54
64430227,Error 404,Error 404,Error 404
1450805752,1044,"February 1, 2013",4.48
1601591160,1059,"March 17, 2017",4.57
1481404296,51319,"August 5, 2014",4.67
1405925132,145410,"October 29, 2015",4.39
039917687X,Error 503,Error 503,Error 503
545850312,Error 404,Error 404,Error 404
887434959,Error 404,Error 404,Error 404
763645257,Error 404,Error 404,Error 404
312508700,Error 404,Error 404,Error 404
486286541,Error 404,Error 404,Error 404
439434408,Error 404,Error 404,Error 404
887431461,Error 404,Error 404,Error 404
736434399,Error 404,Error 404,Error 404
312504837,Error 404,Error 404,Error 404
1452131562,264075,"August 25, 2015",4.34
545561639,Error 404,Error 404,Error 404
545823250,Error 404,Error 404,Error 404
1423605292,4930,"August 1, 2010",4.57
140501827,Error 404,Error 404,Error 404
486480283,Error 404,Error 404,Error 404
1452126992,1034,"March 31, 2015",4.77
1499802250,13513,"October 20, 2015",4.62
1589474783,707,"February 4, 2009",4.68
031612656X,48702,"August 13, 2013",4.26
312492510,Error 404,Error 404,Error 404
486444651,Error 404,Error 404,Error 404
312513178,Error 404,Error 404,Error 404
1570548307,,,4.77
486481794,Error 404,Error 404,Error 404
316376574,Error 404,Error 404,Error 404
1481446606,203,"September 22, 2015",4.76
547641028,Error 404,Error 404,Error 404
62304429,Error 404,Error 404,Error 404
736423990,Error 404,Error 404,Error 404
670016489,Error 404,Error 404,Error 404
1250065003,13555,"October 6, 2015",3.98
62364278,Error 404,Error 404,Error 404
843126981,Error 404,Error 404,Error 404
1449428657,240,"April 2, 2013",4.33
486426440,Error 404,Error 404,Error 404
590481371,Error 404,Error 404,Error 404
545836026,Error 404,Error 404,Error 404
312499094,Error 404,Error 404,Error 404
316378771,Error 404,Error 404,Error 404
399555439,Error 404,Error 404,Error 404
1423133102,154,"October 2, 2012",4.89
084312699X,327,"February 14, 2008",4.74
1419713108,1716,"October 14, 2014",4.91
843174986,Error 404,Error 404,Error 404
451469801,Error 404,Error 404,Error 404
054549284X,,,4.68
075669812X,99142,"October 29, 2012",4.75
1593693400,87831,"March 1, 2008",4.7
1933241144,6674,"October 1, 2005",4.71
1933241241,7049,"April 1, 2006",4.62
545561663,Error 404,Error 404,Error 404
1442487712,4321,"October 1, 2013",4.421591744490,428096,"March 1, 2002",4.56
076110478X,3614,"January 9, 1996",4.42
193324111X,32912,"October 1, 2005",4.62
1935800434,26236,"September 1, 2012",4.89
761313427,Error 404,Error 404,Error 404
1633220508,37949,"October 1, 2015",4.6
1933241136,22508,"October 1, 2005",4.56
160958970X,118895,"July 1, 2015",4.38
764145797,Error 404,Error 404,Error 404
802774407,Error 404,Error 404,Error 404
1250031109,22932,"September 10, 2013",4.45
1442435712,287796,"March 4, 2014",4.67
764166115,Error 404,Error 404,Error 404
1465422994,18745,"September 15, 2014",4.8
756697875,Error 404,Error 404,Error 404
1935800205,23865,"May 1, 2011",4.56
545459907,Error 404,Error 404,Error 404
1584859776,6608,"September 1, 2005",4.67
1933241128,14088,"October 1, 2005",4.47
694006386,Error 404,Error 404,Error 404
1440327068,76945,"June 7, 2013",4.71
486250571,Error 404,Error 404,Error 404
486433269,Error 404,Error 404,Error 404
1465401725,96971,"May 1, 2013",4.74
1604381833,7220,"June 8, 2015",4.21
1892951452,38075,"November 15, 2009",4.41
486460673,Error 404,Error 404,Error 404
375823751,Error 404,Error 404,Error 404
159174802X,,,4.67
076116927X,58754,"October 6, 2015",4.41
1584766247,17228,"September 1, 2007",4.5
873588770,Error 404,Error 404,Error 404
1507745923,Error 404,Error 404,Error 404
1940787092,208265,"November 25, 2014",4.58
1426319193,150794,"February 10, 2015",4.47
448487152,Error 404,Error 404,Error 404
545823269,Error 404,Error 404,Error 404
1465419217,36741,"May 1, 2014",4.77
486447103,Error 404,Error 404,Error 404
545823234,Error 404,Error 404,Error 404
761166629,Error 404,Error 404,Error 404
761184570,Error 404,Error 404,Error 404
1250047757,4223,"March 3, 2015",4.84
1575423596,15474,"September 30, 2010",4.24
1580626874,1278,"March 1, 2002",4.59
843107588,Error 404,Error 404,Error 404
1605531278,372575,"December 7, 2009",4.66
761166513,Error 404,Error 404,Error 404
887432735,Error 404,Error 404,Error 404
545823242,Error 404,Error 404,Error 404
1465435905,14214,"August 4, 2015",4.74
545415837,Error 404,Error 404,Error 404
887432417,Error 404,Error 404,Error 404
1580175384,6429,"May 1, 2004",4.61
486418634,Error 404,Error 404,Error 404
1426309333,5005,"March 13, 2012",4.64
761166599,Error 404,Error 404,Error 404
486468933,Error 404,Error 404,Error 404
761166602,Error 404,Error 404,Error 404
486465810,Error 404,Error 404,Error 404
986444162,Error 404,Error 404,Error 404
761166637,Error 404,Error 404,Error 404
439708702,Error 404,Error 404,Error 404
843115890,Error 404,Error 404,Error 404
048625156X,18273,"July 1, 1986",3.5
054568515X,14089,"March 25, 2014",4.77
689038623,Error 404,Error 404,Error 404
545685168,Error 404,Error 404,Error 404
1452108196,10126,"July 25, 2012",4.81
789454726,Error 404,Error 404,Error 404
843120363,Error 404,Error 404,Error 404
486297810,Error 404,Error 404,Error 404
843110333,Error 404,Error 404,Error 404
761166521,Error 404,Error 404,Error 404
544339207,Error 404,Error 404,Error 404
688088090,Error 404,Error 404,Error 404
805098518,Error 404,Error 404,Error 404
761167560,Error 404,Error 404,Error 404
545415845,Error 404,Error 404,Error 404
439042445,Error 404,Error 404,Error 404
1580625584,7497,March 2001,4.33
316736090,Error 404,Error 404,Error 404
843119217,Error 404,Error 404,Error 404
1426320701,1232,"September 8, 2015",4.84
1426308647,6337,"September 13, 2011",4.71
142631194X,3054,"October 9, 2012",4.82
076116653X,4380,"May 1, 2012",4.67
843128275,Error 404,Error 404,Error 404
486413373,Error 404,Error 404,Error 404
486270106,Error 404,Error 404,Error 404
938256815,Error 404,Error 404,Error 404
075661807X,1116,"January 23, 2006",4.59
439763096,Error 404,Error 404,Error 404
61992275,Error 404,Error 404,Error 404
1426308469,Error 503,Error 503,Error 503
60245867,Error 404,Error 404,Error 404
374360979,Error 404,Error 404,Error 404
374300216,Error 404,Error 404,Error 404
439738199,Error 404,Error 404,Error 404
316380865,Error 404,Error 404,Error 404
679890475,Error 404,Error 404,Error 404
671493183,Error 404,Error 404,Error 404
62304240,Error 404,Error 404,Error 404
142319957X,36,"November 4, 2014",4.84
394800133,Error 404,Error 404,Error 404
312510799,Error 404,Error 404,Error 404
553523910,Error 404,Error 404,Error 404
044845694X,793,"March 31, 2011",4.73
067144901X,860,"November 30, 1982",4.77
61906220,Error 404,Error 404,Error 404
067001396X,6702,"September 1, 2015",4.92
307157857,Error 404,Error 404,Error 404
679800913,Error 404,Error 404,Error 404
545153530,Error 503,Error 503,Error 503
62304275,Error 404,Error 404,Error 404
62304305,Error 404,Error 404,Error 404
316070025,Error 404,Error 404,Error 404
039480001X,1091,"March 12, 1957",4.47
